titel;auteur;Plaatsing;Plaatsing omschrijving;Pl.Opmerking;Zizo Jeugd;Prijs;Jaargang;Genre Jeugd;Hoofdwoord;isbn;Exem-id;Magazijn;Materiaal;Min. leeftijd;Status;Bijlage;Categorie
101 dalmatiërs;Reitherman, Wolfgang;FSJ;Speelfilms jeugd;101;;24.95;;;;PI0831530;4752495;N;D4;0;U;;4
101 dingen die je moet doen voor je 12 bent;Dower, Laura;JIO;Jeugd info: vrije tijd - kunst;;VRVRI;10.00;;;;3,00E+13;25365520;N;B5;0;B;;5
101 dingen om binnen te doen voor je 12 bent;Jacobs, Pat;JIO;Jeugd info: vrije tijd - kunst;;VRVRI;9.99;;;;NA1142194;5827144;N;B5;0;U;;5
101 dingen om binnen te doen voor je 12 bent;Jacobs, Pat;JIO;Jeugd info: vrije tijd - kunst;;VRVRI;9.99;;;;PI0766690;5827145;N;B5;0;B;;5
101 dingen om buiten te doen;;JIO;Jeugd info: vrije tijd - kunst;;VRSPE;9.99;;;;NA1028928;5588714;N;B5;0;U;;5
101 dingen om buiten te doen;;JIO;Jeugd info: vrije tijd - kunst;;VRSPE;9.99;;;;PI0717088;5588715;N;B5;0;B;;5
101 geestige moppen om je dood te lachen!;;JIO;Jeugd info: vrije tijd - kunst;;VRMOP;5.00;;;;3,00E+13;14618619;N;B5;0;U;;5
101 grappige raadsels die je hersens doen kraken!;;JIO;Jeugd info: vrije tijd - kunst;;VRMOP;5.00;;;;3,00E+13;14618623;N;B5;0;U;;5
101 wetenschappe-leuke experimenten : om zelf te doen : avontuurl;Ardley, Neil;JIF;Jeugd info: wetenschappen;;WTPRO;15.99;;;;PI0721581;5626711;N;B5;0;B;;5
101 wetenschappe-leuke experimenten : om zelf te doen : avontuurl;Ardley, Neil;JIF;Jeugd info: wetenschappen;9+ - rood;WTPRO;15.99;;;;NA1029681;5626708;N;B5;0;B;;5
101 zotste moppen aller tijden!;;JIO;Jeugd info: vrije tijd - kunst;;VRMOP;5.00;;;;3,00E+13;14618615;N;B5;0;B;;5
11 september : terroristen slaan toe;Beecroft, Simon;JIK;Jeugd info: geschiedenis;9+ - rood;GETWI;0.00;    ;;;NA0493392;3071688;N;B5;0;B;;5
11 september 2001 : de terroristische aanslagen op de VS;Lalley, Patrick;JIN;Jeugd info: dagelijks leven;;DASAM;0.00;;;;PI0351377;2709176;N;B5;0;B;;5
123 superslimme dingen die je moet weten over het klimaat;Masters, Mathilda;JIH;Jeugd info: natuur;;NAMIL;15.99;;;;3,00E+13;7120919;N;B5;0;B;;5
123 superslimme dingen die je moet weten over het klimaat;Masters, Mathilda;JIH;Jeugd info: natuur;9+ - rood;NAMIL;0.00;    ;;;3,00E+13;7317535;N;B5;0;B;;5
123 superslimme dingen die je moet weten over liefde & seks;Masters, Mathilda;JIM;Jeugd info: mens;;MELAM;15.99;;;;3,00E+13;17539439;N;B5;0;U;;5
123 superslimme dingen die je moet weten over liefde & seks;Masters, Mathilda;JIM;Jeugd info: mens;;MESEK;15.99;;;;3,00E+13;17571997;N;B5;0;U;;5
13 ½ ongelooflijke dingen die je moet weten over alles;Brown, Carron;JIE;Jeugd info: weetjes;;WEENC;22.50;;;;NA1108417;6218964;N;B5;0;U;;5
13 ½ ongelooflijke dingen die je moet weten over alles;Brown, Carron;JIF;Jeugd info: wetenschappen;;WEENC;22.50;;;;PI0816736;6218965;N;B5;0;U;;5
13 minuten;Pinborough, Sarah;YF0;Adolescenten;PINB;;18.99;;;;PI0776270;5911835;N;BA;0;B;;4
13 minuten;Pinborough, Sarah;YF0;Jongeren fictie grijs;PINB;;18.99;;;;NA1092111;5911832;N;BA;0;B;;4
14-18 : de Eerste Wereldoorlog;Brown, Annie;JIK;Jeugd info: geschiedenis;;GEWER;0.00;;;;PI0241458;2738740;N;B5;0;U;;5
15 jaar Bumba;;FSJ;Speelfilms jeugd;FILM BUMB;;16.95;;;;NA1055704;6311377;N;D4;0;B;;2
15 jaar!;Samson & Gert;FSJ;Speelfilms jeugd;SAMS;;0.00;;;;NA1162578;3092301;N;D4;0;B;;2
16 & zwanger : wat nu?;Hoefnagel, Marian;JMC;Jeugd makkelijk lezen 12-14 j;;;12.50;    ;;H;NA0752800;3372172;N;BA;0;B;;4
17 doelen voor een betere wereld;Spilsbury, Louise;JIN;Jeugd info: dagelijks leven;;DAMAA;19.00;;;;3,00E+13;21648928;N;B5;0;B;;5
19 keer Katherine;Green, John;YF0;Jongeren fictie grijs;GREE;;0.00;;;;NA0911097;5228601;N;BA;0;B;;4
19|91;Rijpert, Tom;JFC;Jeugd fictie 12-14 jaar;;;19.50;;;RIJP;3,00E+13;31508793;N;B4;0;B;;4
19|91;Rijpert, Tom;JFC;Jeugd fictie 12-14 jaar blauw;;;19.50;;;RIJP;3,00E+13;31542241;N;B4;0;U;;4
1914 : het weeshuis;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.50;    ;;;NA0852651;5235801;N;S4;0;B;;4
1915 : Hans;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.50;    ;;;NA0858374;5274276;N;S4;0;B;;4
1916 : de hoop stenen;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;8.95;    ;;;NA0972282;5524076;N;S4;0;B;;4
1916 : de hoop stenen;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.50;    ;;;NA1020064;5524077;N;S4;0;B;;2
1917 : het afscheid;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.50;    ;;;NA1143360;5801731;N;S4;0;B;;2
1917 : het afscheid;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.95;    ;;;NA1088599;5801730;N;S4;0;B;;4
1918 : de allerlaatste;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.95;    ;;;NA1095080;6048242;N;S4;0;B;;4
1918 : de allerlaatste;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.95;    ;;;NA116760X;6048243;N;S4;0;B;;4
2 + 1;Johnson, Maureen;YF0;Jongeren fictie grijs;JOHN;;14.95;;;;NA0722677;4054309;N;BA;0;B;;4
20 jaar later;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.25;    ;;;NA0731285;4164579;N;S4;0;U;;4
20 jaar later;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.25;    ;;;NA0877247;4164578;N;S4;0;U;;4
20 vragen voor Gloria;Bedford, Martyn;YF0;Adolescenten;BEDF;;18.99;;;;PI0749214;5773281;N;BA;0;B;;4
2031 : het einde van België?;Sottiaux, Stefan;YF0;Adolescenten;;;24.95;;;SOTT;3,00E+13;14130328;N;BA;0;A;;4
2031 : het einde van België?;Sottiaux, Stefan;YF0;Jongeren fictie grijs;;;25.00;;THR;SOTT;3,00E+13;14409538;N;B4;0;B;;4
24 snel te herkennen vogelgeluiden van bij ons;Devos, Sarah;JIH;Jeugd info: natuur;;NAVOG;19.99;;;;3,00E+13;31014999;N;B5;0;U;;5
24 uur in de jungle;Cook, Lan;JIH;Jeugd info: natuur;9+ - rood;NAOER;13.50;;;;3,00E+13;25671623;N;B5;0;B;;5
24 uur in de steentijd;Cook, Lan;JIK;Jeugd info: geschiedenis;;GEOER;11.99;;;;3,00E+13;23172648;N;B5;0;U;;5
2C;Mous, Mirjam;JFC;Jeugd fictie 12-14 jaar blauw;MOUS;;18.99;    ;;;NA116287X;5629831;N;B4;0;B;;4
2C;Mous, Mirjam;YF0;Adolescenten;MOUS;;18.99;;;;PI0753033;5629834;N;BA;0;B;;4
3 Meiden en de liefde;Moriarty, Jaclyn;YF0;Jongeren fictie grijs;MORI;;14.95;;;;NA0851787;3063858;N;BA;0;A;;4
3 vriendinnen & de liefde;Anderson, Jodi Lynn;YF0;Jongeren fictie grijs;ANDE;;14.95;;;;NA0960179;3744834;N;BA;0;A;;4
3 vriendinnen, 1 fruitige zomer;Anderson, Jodi Lynn;YF0;Jongeren fictie grijs;ANDE;;15.00;;;;NA0522821;3287890;N;BA;0;B;;4
3 zussen, 1 auto;Johnson, Maureen;YF0;Adolescenten;JOHN;;0.00;;;;PI0388297;3053903;N;BA;0;B;;4
3, 2, 1, go!;Kuipers, André;JFA;Jeugd fictie 7-8 jaar geel;;;11.99;;;KUIP;3,00E+13;25635859;N;B4;0;B;;4
300 dingen om te knutselen : voor grote en kleine handjes;Pedevilla, Pia;JIO;Jeugd info: vrije tijd - kunst;;VRKNU;13.99;;;;NA1041096;5679281;N;B5;0;B;;5
300 minuten;Heath, Jack;JFB;Jeugd fictie 9-11 jaar rood;HEAT;;12.50;;;;NA1147129;5927306;N;B4;0;B;;4
321 superslimme dingen die je moet weten over dieren;Masters, Mathilda;JIH;Jeugd info: natuur;9+ - rood;NADIE;20.50;;;;NA1110179;6183898;N;B5;0;B;;5
321 superslimme dingen die je moet weten over geschiedenis;Masters, Mathilda;JIK;Jeugd info: geschiedenis;;GEGES;20.50;;;;3,00E+13;13188008;N;B5;0;B;;5
